projectIndicator,projectNo,Score,program,Current Estimate ,r_curr_jan_2016,r_curr_feb_2016,r_curr_mar_2016,r_curr_apr_2016,r_curr_may_2016,r_curr_jun_2016,r_curr_jul_2016,r_curr_aug_2016,r_curr_sep_2016,r_curr_oct_2016,r_curr_nov_2016,r_curr_dec_2016,Roche,e_curr_jan_2016,e_curr_feb_2016,e_curr_mar_2016,e_curr_apr_2016,e_curr_may_2016,e_curr_jun_2016,e_curr_jul_2016,e_curr_aug_2016,e_curr_sep_2016,e_curr_oct_2016,e_curr_nov_2016,e_curr_dec_2016,External,Total,,r_t3_jan_2016 ,r_t3_feb_2016,r_t3_mar_2016,r_t3_apr_2016,r_t3_may_2016,r_t3_jun_2016,r_t3_jul_2016,r_t3_aug_2016,r_t3_sep_2016,r_t3_oct_2016,r_t3_nov_2016,r_t3_dec_2016,Roche,e_t3_jan_2016 ,e_t3_feb_2016,e_t3_mar_2016,e_t3_apr_2016,e_t3_may_2016,e_t3_jun_2016,e_t3_jul_2016,e_t3_aug_2016,e_t3_sep_2016,e_t3_oct_2016,e_t3_nov_2016,e_t3_dec_2016,External
Individual Project,74280,11.6,Agile,$0 ,0.26,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.03,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.05,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Individual Project,74371,6.8,TBD,$0 ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,,,0.3,0.3,0.3,0.3,0.3
Global,96046,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
Global,96047,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
Global,96069,N/A,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0,0,0,0,0.01,0.01,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96107,#N/A,#N/A,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,2,2,2,2,2,0,0,0,0,0,0.83,,,,,,,,,,,,,0
,96132,#N/A,#N/A,$0 ,0.44,0.31,0.18,0.04,0.04,0.04,0.33,0.42,0.44,0.56,0.37,0.01,0.27,,,,,,,,,,,,,,,,0.44,0.31,0.18,0.04,0.04,0.04,0.04,0.14,0.43,0.56,0.37,0.01,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Global,96133,15.3,Launch and Commercial Excellence,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,0
Global,96134,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0.5,0.5,0.5,0.2,0.2,0.2,0,0,0,0,0,0,0.18,,,,,,,,,,,,,0
Global,96136,N/A,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0,0,1,1,1,1,1,1,1,1,1,0.75,,,,,,,,,,,,,0
,96139,9.6,Exceptional Culture,$0 ,0,0,0,0,0,0,0.54,0.54,0.54,0.54,0.54,0.54,0.27,0,0,0,0,0,0,1.7,1.7,1.7,1.7,1.7,1.7,0.85,1.12,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96165,14.1,Reliability and Value,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,97012,N/A,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,,,,,,,,,,,,,0
,97036,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0.05,0.03,0,0.01,0.01,0.01,,,,,,,,,,,,,,,,0.01,0.01,0.34,0.34,0.05,0.04,0.37,0.36,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
